## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
se001,Ashanti Nomad,,,,,http://localhost/geometrixx/en/men/shirts/ashanti-nomad.html,,,,,,,,,,,,,
se002,Bambara Cargo,,,,,http://localhost/geometrixx/en/men/shirts/bambara-cargo.html,,,,,,,,,,,,,
se003,Edmonton Winter,,,,,http://localhost/geometrixx/en/men/coats/edmonton-winter.html,,,,,,,,,,,,,
se004,Fulani Nomad,,,,,http://localhost/geometrixx/en/men/pants/fulani-nomad.html,,,,,,,,,,,,,
se005,Jola Summer Blue,,,,,http://localhost/geometrixx/en/men/shorts/jola-summer.html,,,,,,,,,,,,,
se006,Marka Sport Red,,,,,http://localhost/geometrixx/en/men/shorts/marka-sport.html,,,,,,,,,,,,,
se007,Tuareg Summer,,,,,http://localhost/geometrixx/en/men/shorts/tuareg-summer.html,,,,,,,,,,,,,
se008,Bora Bora,,,,,http://localhost/geometrixx/en/women/shirts/bora-bora.html,,,,,,,,,,,,,
se009,Calgary Winter,,,,,http://localhost/geometrixx/en/women/coats/calgary-winter.html,,,,,,,,,,,,,
se010,Fiji Sport Blue,,,,,http://localhost/geometrixx/en/women/shorts/fiji-sport.html,,,,,,,,,,,,,
